unidade;ano;mes;setor_centro_custo;internacoes
HEM;2020,0;7,0;UTI;69,0
HEM;2020,0;8,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;115,0
HEM;2020,0;8,0;UTI;51,0
HEM;2020,0;9,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;82,0
HEM;2020,0;9,0;UTI;52,0
HEM;2020,0;10,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;115,0
HEM;2020,0;10,0;UTI;45,0
HEM;2020,0;11,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;106,0
HEM;2020,0;11,0;UTI;57,0
HEM;2020,0;12,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;127,0
HEM;2020,0;12,0;UTI;88,0
HEM;2021,0;1,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;151,0
HEM;2021,0;1,0;UTI;64,0
HEM;2021,0;2,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;137,0
HEM;2021,0;2,0;UTI;34,0
HEM;2021,0;3,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;272,0
HEM;2021,0;3,0;UTI;41,0
HEM;2021,0;4,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;207,0
HEM;2021,0;4,0;UTI;49,0
HEM;2021,0;5,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;213,0
HEM;2021,0;5,0;UTI;21,0
HEM;2021,0;6,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;154,0
HEM;2021,0;6,0;UTI;31,0
HEM;2021,0;7,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;158,0
HEM;2021,0;7,0;UTI;45,0
HEM;2021,0;8,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;117,0
HEM;2021,0;8,0;UTI;9,0
HEM;2021,0;8,0;UTI - ADULTO;33,0
HEM;2021,0;9,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;104,0
HEM;2021,0;9,0;UTI - ADULTO;24,0
HEM;2021,0;10,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;128,0
HEM;2021,0;10,0;UTI - ADULTO;37,0
HEM;2021,0;11,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;126,0
HEM;2021,0;11,0;UTI - ADULTO;31,0
HEM;2021,0;12,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;149,0
HEM;2021,0;12,0;UTI - ADULTO;25,0
HEM;2022,0;1,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;176,0
HEM;2022,0;1,0;UTI - ADULTO;38,0
HEM;2022,0;2,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;98,0
HEM;2022,0;2,0;UTI - ADULTO;21,0
HEM;2022,0;3,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;94,0
HEM;2022,0;3,0;UTI - ADULTO;23,0
HEM;2022,0;4,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;84,0
HEM;2022,0;4,0;UTI - ADULTO;24,0
HEM;2022,0;5,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;137,0
HEM;2022,0;5,0;UTI - ADULTO;34,0
HEM;2022,0;6,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;141,0
HEM;2022,0;6,0;UTI - ADULTO;17,0
HEM;2022,0;7,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;148,0
HEM;2022,0;7,0;UTI - ADULTO;19,0
HEM;2022,0;8,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;140,0
HEM;2022,0;8,0;UTI - ADULTO;29,0
HEM;2022,0;9,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS DOENÇAS INFECTO CONTAGIOSAS;160,0
HEM;2022,0;9,0;UTI - ADULTO;24,0
